법정동코드,category_group_code,count
1114012700,MT1,0
1114012700,PK6,1
1114012700,BK9,2
1114012700,FD6,9
1114012700,CE7,10
1114012700,HP8,10
1114012700,PM9,3
1114012800,CS2,4
1114012800,MT1,0
1114012800,PK6,1
1114012800,BK9,0
1114012800,FD6,1
1114012800,CE7,2
1114012800,HP8,3
1114012800,PM9,1
1114012900,CS2,2
1114012900,MT1,0
1114012900,PK6,2
1114012900,BK9,1
1114012900,FD6,3
1114012900,CE7,4
1114012900,HP8,0
1114012900,PM9,0
1114013000,CS2,1
1114013000,MT1,0
1114013000,PK6,1
1114013000,BK9,0
1114013000,FD6,0
1114013000,CE7,1
1114013000,HP8,1
1114013000,PM9,0
1114013100,CS2,3
1114013100,MT1,0
1114013100,PK6,3
1114013100,BK9,0
1114013100,FD6,0
1114013100,CE7,0
1114013100,HP8,0
1114013100,PM9,0
1114013200,CS2,4
1114013200,MT1,0
1114013200,PK6,3
1114013200,BK9,5
1114013200,FD6,1
1114013200,CE7,2
1114013200,HP8,4
1114013200,PM9,3
1114013300,CS2,4
1114013300,MT1,0
1114013300,PK6,3
1114013300,BK9,1
1114013300,FD6,2
1114013300,CE7,4
1114013300,HP8,3
1114013300,PM9,2
1114013400,CS2,1
1114013400,MT1,0
1114013400,PK6,1
1114013400,BK9,2
1114013400,FD6,3
1114013400,CE7,0
1114013400,HP8,0
1114013400,PM9,0
1114013500,CS2,1
1114013500,MT1,0
1114013500,PK6,1
1114013500,BK9,1
1114013500,FD6,0
1114013500,CE7,0
1114013500,HP8,0
1114013500,PM9,0
1114013600,CS2,2
1114013600,MT1,0
1114013600,PK6,0
1114013600,BK9,2
1114013600,FD6,1
1114013600,CE7,1
1114013600,HP8,2
1114013600,PM9,0
1114013700,CS2,5
1114013700,MT1,0
1114013700,PK6,0
1114013700,BK9,3
1114013700,FD6,4
1114013700,CE7,2
1114013700,HP8,4
1114013700,PM9,2
1114013800,CS2,5
1114013800,MT1,0
1114013800,PK6,8
1114013800,BK9,4
1114013800,FD6,8
1114013800,CE7,7
1114013800,HP8,5
1114013800,PM9,1
1114013900,CS2,5
1114013900,MT1,0
1114013900,PK6,5
1114013900,BK9,5
1114013900,FD6,4
1114013900,CE7,9
1114013900,HP8,1
1114013900,PM9,0
1114014000,CS2,0
1114014000,MT1,0
1114014000,PK6,0
1114014000,BK9,0
1114014000,FD6,0
1114014000,CE7,1
1114014000,HP8,0
1114014000,PM9,0
1114014100,CS2,0
1114014100,MT1,0
1114014100,PK6,0
1114014100,BK9,1
1114014100,FD6,0
1114014100,CE7,0
1114014100,HP8,0
1114014100,PM9,0
1114014200,CS2,2
1114014200,MT1,0
1114014200,PK6,7
1114014200,BK9,2
1114014200,FD6,6
1114014200,CE7,1
1114014200,HP8,0
1114014200,PM9,0
1114014300,CS2,2
1114014300,MT1,0
1114014300,PK6,7
1114014300,BK9,3
1114014300,FD6,8
1114014300,CE7,6
1114014300,HP8,2
1114014300,PM9,1
1114014400,CS2,14
1114014400,MT1,0
1114014400,PK6,13
1114014400,BK9,17
1114014400,FD6,20
1114014400,CE7,7
1114014400,HP8,1
1114014400,PM9,0
1114014500,CS2,3
1114014500,MT1,0
1114014500,PK6,1
1114014500,BK9,2
1114014500,FD6,3
1114014500,CE7,4
1114014500,HP8,0
1114014500,PM9,1
1114014600,CS2,2
1114014600,MT1,0
1114014600,PK6,0
1114014600,BK9,0
1114014600,FD6,2
1114014600,CE7,3
1114014600,HP8,2
1114014600,PM9,1
1114014700,CS2,5
1114014700,MT1,0
1114014700,PK6,3
1114014700,BK9,5
1114014700,FD6,4
1114014700,CE7,5
1114014700,HP8,4
1114014700,PM9,1
1114014800,CS2,10
1114014800,MT1,1
1114014800,PK6,10
1114014800,BK9,7
1114014800,FD6,12
1114014800,CE7,12
1114014800,HP8,10
1114014800,PM9,3
1114014900,CS2,4
1114014900,MT1,0
1114014900,PK6,4
1114014900,BK9,3
1114014900,FD6,0
1114014900,CE7,2
1114014900,HP8,1
1114014900,PM9,0
1114015000,CS2,2
1114015000,MT1,0
1114015000,PK6,3
1114015000,BK9,4
1114015000,FD6,0
1114015000,CE7,5
1114015000,HP8,10
1114015000,PM9,2
1114015100,CS2,4
1114015100,MT1,0
1114015100,PK6,3
1114015100,BK9,3
1114015100,FD6,0
1114015100,CE7,1
1114015100,HP8,3
1114015100,PM9,0
1114015200,CS2,1
1114015200,MT1,0
1114015200,PK6,4
1114015200,BK9,1
1114015200,FD6,6
1114015200,CE7,4
1114015200,HP8,0
1114015200,PM9,0
1114015300,CS2,0
1114015300,MT1,0
1114015300,PK6,1
1114015300,BK9,2
1114015300,FD6,1
1114015300,CE7,1
1114015300,HP8,1
1114015300,PM9,0
1114015400,CS2,1
1114015400,MT1,0
1114015400,PK6,1
1114015400,BK9,1
1114015400,FD6,2
1114015400,CE7,2
1114015400,HP8,0
1114015400,PM9,1
1114015500,CS2,4
1114015500,MT1,0
1114015500,PK6,2
1114015500,BK9,1
1114015500,FD6,11
1114015500,CE7,9
1114015500,HP8,0
1114015500,PM9,0
1114015600,CS2,2
1114015600,MT1,0
1114015600,PK6,2
1114015600,BK9,0
1114015600,FD6,0
1114015600,CE7,0
1114015600,HP8,0
1114015600,PM9,0
1114015700,CS2,1
1114015700,MT1,0
1114015700,PK6,1
1114015700,BK9,0
1114015700,FD6,1
1114015700,CE7,2
1114015700,HP8,0
1114015700,PM9,0
1114015800,CS2,3
1114015800,MT1,0
1114015800,PK6,2
1114015800,BK9,1
1114015800,FD6,5
1114015800,CE7,1
1114015800,HP8,2
1114015800,PM9,0
1114015900,CS2,3
1114015900,MT1,0
1114015900,PK6,4
1114015900,BK9,2
1114015900,FD6,3
1114015900,CE7,3
1114015900,HP8,1
1114015900,PM9,3
1114016000,CS2,4
1114016000,MT1,0
1114016000,PK6,1
1114016000,BK9,0
1114016000,FD6,1
1114016000,CE7,1
1114016000,HP8,0
1114016000,PM9,1
1114016100,CS2,5
1114016100,MT1,0
1114016100,PK6,0
1114016100,BK9,1
1114016100,FD6,4
1114016100,CE7,1
1114016100,HP8,2
1114016100,PM9,3
1114016200,CS2,31
1114016200,MT1,1
1114016200,PK6,23
1114016200,BK9,29
1114016200,FD6,27
1114016200,CE7,31
1114016200,HP8,25
1114016200,PM9,13
1114016300,CS2,6
1114016300,MT1,0
1114016300,PK6,5
1114016300,BK9,5
1114016300,FD6,10
1114016300,CE7,7
1114016300,HP8,5
1114016300,PM9,4
1114016400,CS2,3
1114016400,MT1,0
1114016400,PK6,0
1114016400,BK9,1
1114016400,FD6,4
1114016400,CE7,1
1114016400,HP8,2
1114016400,PM9,2
1114016500,CS2,11
1114016500,MT1,1
1114016500,PK6,9
1114016500,BK9,11
1114016500,FD6,14
1114016500,CE7,21
1114016500,HP8,14
1114016500,PM9,7
1114016600,CS2,9
1114016600,MT1,0
1114016600,PK6,9
1114016600,BK9,6
1114016600,FD6,7
1114016600,CE7,7
1114016600,HP8,13
1114016600,PM9,5
1114016700,CS2,2
1114016700,MT1,0
1114016700,PK6,6
